BarcodeName,FastaName,CoarseCluster,Phase,TotalCoverage,SequenceLength,PredictedAccuracy,ConsensusConverged,DuplicateOf,NoiseSequence,IsChimera,ChimeraScore,ParentSequenceA,ParentSequenceB,CrossoverPosition
F3--R3,BarcodeF3--R3_Cluster0_Phase0_NumReads386,Cluster0,Phase0,386,3138,0.9999369,True,,False,False,0,,,-1
F3--R3,BarcodeF3--R3_Cluster1_Phase0_NumReads336,Cluster1,Phase0,336,3138,0.9999369,True,,False,False,0,,,-1
F3--R3,BarcodeF3--R3_Cluster3_Phase1_NumReads195,Cluster3,Phase1,195,3407,0.9999369,True,,False,False,0.02210667,,,-1
F3--R3,BarcodeF3--R3_Cluster2_Phase3_NumReads174,Cluster2,Phase3,174,3409,0.9999369,True,,False,False,0.2335425,,,-1
F3--R3,BarcodeF3--R3_Cluster5_Phase1_NumReads170,Cluster5,Phase1,170,3442,0.9999369,True,,False,False,0.1370614,,,-1
F3--R3,BarcodeF3--R3_Cluster4_Phase2_NumReads164,Cluster4,Phase2,164,3437,0.9999369,True,,False,False,0.1641566,,,-1
F3--R3,BarcodeF3--R3_Cluster1_Phase2_NumReads57,Cluster1,Phase2,57,3138,0.6973113,True,,True,True,17.8125,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,2303
F3--R3,BarcodeF3--R3_Cluster0_Phase2_NumReads56,Cluster0,Phase2,56,3138,0.9373053,True,,True,True,17.8125,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,638
F3--R3,BarcodeF3--R3_Cluster4_Phase0_NumReads56,Cluster4,Phase0,56,3440,0.9792838,True,,True,True,41,BarcodeF3--R3_Cluster5_Phase1_NumReads170,BarcodeF3--R3_Cluster4_Phase2_NumReads164,1304
F3--R3,BarcodeF3--R3_Cluster2_Phase1_NumReads55,Cluster2,Phase1,55,3408,0.9969091,True,,True,True,37.1875,BarcodeF3--R3_Cluster3_Phase1_NumReads195,BarcodeF3--R3_Cluster2_Phase3_NumReads174,892
F3--R3,BarcodeF3--R3_Cluster2_Phase0_NumReads52,Cluster2,Phase0,52,3410,0.9905468,True,,True,True,41.48438,BarcodeF3--R3_Cluster2_Phase3_NumReads174,BarcodeF3--R3_Cluster3_Phase1_NumReads195,1742
F3--R3,BarcodeF3--R3_Cluster1_Phase1_NumReads46,Cluster1,Phase1,46,3135,0.8497889,True,,True,True,19.83333,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,1897
F3--R3,BarcodeF3--R3_Cluster3_Phase0_NumReads37,Cluster3,Phase0,37,3404,0.4231977,True,,True,True,11.6875,BarcodeF3--R3_Cluster2_Phase3_NumReads174,BarcodeF3--R3_Cluster3_Phase1_NumReads195,517
F3--R3,BarcodeF3--R3_Cluster5_Phase0_NumReads37,Cluster5,Phase0,37,3445,0.7748744,True,,True,True,35.76563,BarcodeF3--R3_Cluster4_Phase2_NumReads164,BarcodeF3--R3_Cluster5_Phase1_NumReads170,605
F3--R3,BarcodeF3--R3_Cluster3_Phase2_NumReads36,Cluster3,Phase2,36,3406,0.9711167,True,,True,True,23.75,BarcodeF3--R3_Cluster3_Phase1_NumReads195,BarcodeF3--R3_Cluster2_Phase3_NumReads174,1742
F3--R3,BarcodeF3--R3_Cluster3_Phase3_NumReads36,Cluster3,Phase3,36,3415,0.8166727,True,,True,True,22.55,BarcodeF3--R3_Cluster3_Phase1_NumReads195,BarcodeF3--R3_Cluster2_Phase3_NumReads174,2753
F3--R3,BarcodeF3--R3_Cluster0_Phase1_NumReads35,Cluster0,Phase1,35,3140,0.5310687,False,,True,True,9.882813,BarcodeF3--R3_Cluster1_Phase0_NumReads336,BarcodeF3--R3_Cluster0_Phase0_NumReads386,1032
F3--R3,BarcodeF3--R3_Cluster2_Phase2_NumReads32,Cluster2,Phase2,32,3409,0.3876811,True,,True,True,22,BarcodeF3--R3_Cluster3_Phase1_NumReads195,BarcodeF3--R3_Cluster2_Phase3_NumReads174,413
F3--R3,BarcodeF3--R3_Cluster4_Phase1_NumReads31,Cluster4,Phase1,31,3437,0.8583671,True,,True,True,30.01563,BarcodeF3--R3_Cluster4_Phase2_NumReads164,BarcodeF3--R3_Cluster5_Phase1_NumReads170,2736
F4--R4,BarcodeF4--R4_Cluster2_Phase0_NumReads316,Cluster2,Phase0,316,3138,0.9999369,True,,False,False,0,,,-1
F4--R4,BarcodeF4--R4_Cluster3_Phase3_NumReads209,Cluster3,Phase3,209,3124,0.9999369,True,,False,False,0,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase4_NumReads171,Cluster1,Phase4,171,3426,0.9999323,True,,False,False,0.01993262,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase0_NumReads170,Cluster0,Phase0,170,3438,0.9999369,True,,False,False,0.1217635,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase0_NumReads148,Cluster1,Phase0,148,3408,0.9994543,True,,False,False,0.2583068,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase5_NumReads130,Cluster0,Phase5,130,3438,0.9995674,True,,False,False,0.4776699,,,-1
F4--R4,BarcodeF4--R4_Cluster0_Phase3_NumReads75,Cluster0,Phase3,75,3438,0.9973435,True,,False,False,0.890625,,,-1
F4--R4,BarcodeF4--R4_Cluster1_Phase5_NumReads51,Cluster1,Phase5,51,3419,0.9809145,True,,True,True,22.5,BarcodeF4--R4_Cluster1_Phase0_NumReads148,BarcodeF4--R4_Cluster1_Phase4_NumReads171,1531
F4--R4,BarcodeF4--R4_Cluster0_Phase4_NumReads44,Cluster0,Phase4,44,3440,0.9973501,False,,False,False,0.5539216,,,-1
F4--R4,BarcodeF4--R4_Cluster3_Phase1_NumReads43,Cluster3,Phase1,43,3124,0.9066318,True,,True,True,67.1875,BarcodeF4--R4_Cluster2_Phase0_NumReads316,BarcodeF4--R4_Cluster3_Phase3_NumReads209,1108
F4--R4,BarcodeF4--R4_Cluster0_Phase1_NumReads42,Cluster0,Phase1,42,3438,0.9944234,True,,True,True,1.5,BarcodeF4--R4_Cluster0_Phase0_NumReads170,BarcodeF4--R4_Cluster0_Phase4_NumReads44,2019
F4--R4,BarcodeF4--R4_Cluster3_Phase2_NumReads42,Cluster3,Phase2,42,3124,0.9538297,True,,True,True,14.10938,BarcodeF4--R4_Cluster3_Phase3_NumReads209,BarcodeF4--R4_Cluster2_Phase0_NumReads316,2546
F4--R4,BarcodeF4--R4_Cluster1_Phase3_NumReads39,Cluster1,Phase3,39,3426,0.7308827,True,,True,True,13.20313,BarcodeF4--R4_Cluster1_Phase4_NumReads171,BarcodeF4--R4_Cluster1_Phase0_NumReads148,2374
F4--R4,BarcodeF4--R4_Cluster0_Phase2_NumReads38,Cluster0,Phase2,38,3438,0.9893153,True,,True,True,1.828125,BarcodeF4--R4_Cluster0_Phase5_NumReads130,BarcodeF4--R4_Cluster0_Phase0_NumReads170,2368
F4--R4,BarcodeF4--R4_Cluster3_Phase0_NumReads36,Cluster3,Phase0,36,3121,0.5166708,False,,True,True,29.4,BarcodeF4--R4_Cluster2_Phase0_NumReads316,BarcodeF4--R4_Cluster3_Phase3_NumReads209,752
F4--R4,BarcodeF4--R4_Cluster2_Phase4_NumReads35,Cluster2,Phase4,35,3142,0.8722823,True,,True,True,53.10938,BarcodeF4--R4_Cluster3_Phase3_NumReads209,BarcodeF4--R4_Cluster2_Phase0_NumReads316,1067
F4--R4,BarcodeF4--R4_Cluster2_Phase1_NumReads33,Cluster2,Phase1,33,3139,0.0003840911,True,,True,True,22.125,BarcodeF4--R4_Cluster2_Phase0_NumReads316,BarcodeF4--R4_Cluster3_Phase3_NumReads209,2731
F4--R4,BarcodeF4--R4_Cluster1_Phase6_NumReads30,Cluster1,Phase6,30,3424,0.3311004,True,,True,True,12.9375,BarcodeF4--R4_Cluster1_Phase0_NumReads148,BarcodeF4--R4_Cluster1_Phase4_NumReads171,893
F4--R4,BarcodeF4--R4_Cluster2_Phase2_NumReads30,Cluster2,Phase2,30,3138,0.0003842134,True,,True,True,44.6875,BarcodeF4--R4_Cluster2_Phase0_NumReads316,BarcodeF4--R4_Cluster3_Phase3_NumReads209,2464
F4--R4,BarcodeF4--R4_Cluster2_Phase3_NumReads29,Cluster2,Phase3,29,3144,0.7254446,True,,True,True,54.83334,BarcodeF4--R4_Cluster3_Phase3_NumReads209,BarcodeF4--R4_Cluster2_Phase0_NumReads316,1327
F4--R4,BarcodeF4--R4_Cluster1_Phase1_NumReads25,Cluster1,Phase1,25,3408,0.2871323,True,,True,True,7.222222,BarcodeF4--R4_Cluster1_Phase0_NumReads148,BarcodeF4--R4_Cluster1_Phase4_NumReads171,2355
F4--R4,BarcodeF4--R4_Cluster1_Phase7_NumReads25,Cluster1,Phase7,25,3424,0.5082165,True,,True,True,6.027777,BarcodeF4--R4_Cluster1_Phase0_NumReads148,BarcodeF4--R4_Cluster1_Phase4_NumReads171,556
F4--R4,BarcodeF4--R4_Cluster1_Phase2_NumReads11,Cluster1,Phase2,11,3649,0.143314,False,,True,False,0.100624,,,-1
F6--R6,BarcodeF6--R6_Cluster1_Phase0_NumReads389,Cluster1,Phase0,389,3137,0.9999369,True,,False,False,0,,,-1
F6--R6,BarcodeF6--R6_Cluster2_Phase4_NumReads312,Cluster2,Phase4,312,3138,0.9999369,True,,False,False,0,,,-1
F6--R6,BarcodeF6--R6_Cluster3_Phase0_NumReads156,Cluster3,Phase0,156,3438,0.9999367,True,,False,False,0.008394292,,,-1
F6--R6,BarcodeF6--R6_Cluster0_Phase1_NumReads148,Cluster0,Phase1,148,3409,0.9999295,True,,False,False,0.1235777,,,-1
F6--R6,BarcodeF6--R6_Cluster3_Phase5_NumReads118,Cluster3,Phase5,118,3438,0.9999182,True,,False,False,0.3474825,,,-1
F6--R6,BarcodeF6--R6_Cluster0_Phase5_NumReads94,Cluster0,Phase5,94,3410,0.9991534,False,,False,False,0.2998427,,,-1
F6--R6,BarcodeF6--R6_Cluster0_Phase0_NumReads79,Cluster0,Phase0,79,3407,0.9962825,True,,True,True,28.33333,BarcodeF6--R6_Cluster0_Phase5_NumReads94,BarcodeF6--R6_Cluster0_Phase1_NumReads148,1523
F6--R6,BarcodeF6--R6_Cluster0_Phase7_NumReads75,Cluster0,Phase7,75,3409,0.9975321,False,,False,False,0.2975239,,,-1
F6--R6,BarcodeF6--R6_Cluster1_Phase2_NumReads57,Cluster1,Phase2,57,3137,0.9477621,True,,True,True,7.8125,BarcodeF6--R6_Cluster1_Phase0_NumReads389,BarcodeF6--R6_Cluster2_Phase4_NumReads312,2302
F6--R6,BarcodeF6--R6_Cluster1_Phase1_NumReads54,Cluster1,Phase1,54,3136,0.9298372,True,,True,True,9.166667,BarcodeF6--R6_Cluster1_Phase0_NumReads389,BarcodeF6--R6_Cluster2_Phase4_NumReads312,1857
F6--R6,BarcodeF6--R6_Cluster2_Phase0_NumReads48,Cluster2,Phase0,48,3137,0.9566169,True,,True,True,6.944444,BarcodeF6--R6_Cluster1_Phase0_NumReads389,BarcodeF6--R6_Cluster2_Phase4_NumReads312,638
F6--R6,BarcodeF6--R6_Cluster2_Phase1_NumReads42,Cluster2,Phase1,42,3138,0.968617,True,,True,True,13.29688,BarcodeF6--R6_Cluster1_Phase0_NumReads389,BarcodeF6--R6_Cluster2_Phase4_NumReads312,1856
F6--R6,BarcodeF6--R6_Cluster3_Phase7_NumReads39,Cluster3,Phase7,39,3438,0.9971678,True,,True,True,4.875,BarcodeF6--R6_Cluster3_Phase5_NumReads118,BarcodeF6--R6_Cluster3_Phase0_NumReads156,1657
F6--R6,BarcodeF6--R6_Cluster0_Phase3_NumReads38,Cluster0,Phase3,38,3411,0.8873603,True,,True,True,36.65625,BarcodeF6--R6_Cluster0_Phase1_NumReads148,BarcodeF6--R6_Cluster0_Phase5_NumReads94,1524
F6--R6,BarcodeF6--R6_Cluster0_Phase4_NumReads38,Cluster0,Phase4,38,3422,0.7004481,False,,True,True,26.625,BarcodeF6--R6_Cluster0_Phase1_NumReads148,BarcodeF6--R6_Cluster0_Phase5_NumReads94,2766
F6--R6,BarcodeF6--R6_Cluster2_Phase2_NumReads34,Cluster2,Phase2,34,3138,0.9059468,True,,True,True,10.54688,BarcodeF6--R6_Cluster1_Phase0_NumReads389,BarcodeF6--R6_Cluster2_Phase4_NumReads312,1082
F6--R6,BarcodeF6--R6_Cluster3_Phase2_NumReads29,Cluster3,Phase2,29,3439,0.8661565,True,,True,True,5.28125,BarcodeF6--R6_Cluster3_Phase0_NumReads156,BarcodeF6--R6_Cluster3_Phase5_NumReads118,1657
F6--R6,BarcodeF6--R6_Cluster2_Phase3_NumReads26,Cluster2,Phase3,26,3135,0.3620373,False,,True,False,0.7295918,,,-1
F6--R6,BarcodeF6--R6_Cluster3_Phase1_NumReads24,Cluster3,Phase1,24,3439,0.8952865,False,,True,True,3.75,BarcodeF6--R6_Cluster3_Phase0_NumReads156,BarcodeF6--R6_Cluster3_Phase5_NumReads118,878
F6--R6,BarcodeF6--R6_Cluster0_Phase6_NumReads20,Cluster0,Phase6,20,3404,0.6473995,True,,True,True,2.988281,BarcodeF6--R6_Cluster0_Phase5_NumReads94,BarcodeF6--R6_Cluster0_Phase1_NumReads148,3064
F6--R6,BarcodeF6--R6_Cluster3_Phase4_NumReads20,Cluster3,Phase4,20,3437,0.9719034,False,,True,True,1.410257,BarcodeF6--R6_Cluster3_Phase5_NumReads118,BarcodeF6--R6_Cluster3_Phase0_NumReads156,2317
F6--R6,BarcodeF6--R6_Cluster3_Phase6_NumReads16,Cluster3,Phase6,16,3437,0.8778303,True,,True,True,3.966666,BarcodeF6--R6_Cluster3_Phase5_NumReads118,BarcodeF6--R6_Cluster3_Phase0_NumReads156,847
F6--R6,BarcodeF6--R6_Cluster3_Phase3_NumReads14,Cluster3,Phase3,14,3436,0.439819,True,,True,True,3.681818,BarcodeF6--R6_Cluster3_Phase0_NumReads156,BarcodeF6--R6_Cluster3_Phase5_NumReads118,675
F6--R6,BarcodeF6--R6_Cluster0_Phase2_NumReads6,Cluster0,Phase2,6,3435,0.3882261,True,,True,False,0.2138541,,,-1
F7--R7,BarcodeF7--R7_Cluster1_Phase0_NumReads227,Cluster1,Phase0,227,3437,0.9999369,True,,False,False,0,,,-1
F7--R7,BarcodeF7--R7_Cluster2_Phase1_NumReads226,Cluster2,Phase1,226,3408,0.9999369,True,,False,False,0,,,-1
F7--R7,BarcodeF7--R7_Cluster0_Phase3_NumReads205,Cluster0,Phase3,205,3138,0.9999369,True,,False,False,0.05057285,,,-1
F7--R7,BarcodeF7--R7_Cluster0_Phase1_NumReads190,Cluster0,Phase1,190,3139,0.9999369,True,,False,False,0.7524154,,,-1
F7--R7,BarcodeF7--R7_Cluster3_Phase2_NumReads187,Cluster3,Phase2,187,3408,0.9999368,True,,False,False,0.2892772,,,-1
F7--R7,BarcodeF7--R7_Cluster1_Phase2_NumReads185,Cluster1,Phase2,185,3437,0.9999369,True,,False,False,0.1572534,,,-1
F7--R7,BarcodeF7--R7_Cluster2_Phase0_NumReads46,Cluster2,Phase0,46,3408,0.8057339,True,,True,True,19.32292,BarcodeF7--R7_Cluster2_Phase1_NumReads226,BarcodeF7--R7_Cluster3_Phase2_NumReads187,2391
F7--R7,BarcodeF7--R7_Cluster0_Phase5_NumReads41,Cluster0,Phase5,41,3140,0.9256416,True,,True,True,7.8125,BarcodeF7--R7_Cluster0_Phase1_NumReads190,BarcodeF7--R7_Cluster0_Phase3_NumReads205,1389
F7--R7,BarcodeF7--R7_Cluster1_Phase4_NumReads41,Cluster1,Phase4,41,3437,0.7643999,True,,True,True,1.421875,BarcodeF7--R7_Cluster1_Phase0_NumReads227,BarcodeF7--R7_Cluster1_Phase2_NumReads185,1039
F7--R7,BarcodeF7--R7_Cluster3_Phase1_NumReads36,Cluster3,Phase1,36,3408,0.976716,True,,True,True,8.96875,BarcodeF7--R7_Cluster2_Phase1_NumReads226,BarcodeF7--R7_Cluster3_Phase2_NumReads187,340
F7--R7,BarcodeF7--R7_Cluster2_Phase3_NumReads34,Cluster2,Phase3,34,3397,0.9946624,True,,True,True,11.875,BarcodeF7--R7_Cluster3_Phase2_NumReads187,BarcodeF7--R7_Cluster2_Phase1_NumReads226,591
F7--R7,BarcodeF7--R7_Cluster3_Phase0_NumReads34,Cluster3,Phase0,34,3419,0.9081836,True,,True,True,16.66667,BarcodeF7--R7_Cluster3_Phase2_NumReads187,BarcodeF7--R7_Cluster2_Phase1_NumReads226,2231
F7--R7,BarcodeF7--R7_Cluster0_Phase2_NumReads28,Cluster0,Phase2,28,3137,0.11727,True,,True,True,10.54688,BarcodeF7--R7_Cluster0_Phase3_NumReads205,BarcodeF7--R7_Cluster0_Phase1_NumReads190,2733
F7--R7,BarcodeF7--R7_Cluster0_Phase4_NumReads28,Cluster0,Phase4,28,3138,0.380579,True,,True,True,11.06173,BarcodeF7--R7_Cluster0_Phase1_NumReads190,BarcodeF7--R7_Cluster0_Phase3_NumReads205,2451
F7--R7,BarcodeF7--R7_Cluster2_Phase2_NumReads26,Cluster2,Phase2,26,3406,0.3491738,True,,True,True,18.98077,BarcodeF7--R7_Cluster3_Phase2_NumReads187,BarcodeF7--R7_Cluster2_Phase1_NumReads226,1817
F7--R7,BarcodeF7--R7_Cluster1_Phase1_NumReads23,Cluster1,Phase1,23,3438,0.8275821,False,,True,False,0.5666667,,,-1
F7--R7,BarcodeF7--R7_Cluster1_Phase3_NumReads23,Cluster1,Phase3,23,3438,0.9652803,True,,True,True,1.263889,BarcodeF7--R7_Cluster1_Phase0_NumReads227,BarcodeF7--R7_Cluster1_Phase2_NumReads185,1796
F7--R7,BarcodeF7--R7_Cluster0_Phase0_NumReads7,Cluster0,Phase0,7,4066,0.3314539,False,,True,False,0,,,-1
